conference#Presentation	conference#Presentation -> conference#Conference_contribution -> conference#Conference_document	 	conference#is_the_1th_part_of -> conference#Abstract, conference#has_an_abstract -> conference#Abstract, conference#gives_presentations -> conference#Active_conference_participant, conference#is_given_by -> conference#Active_conference_participant	 	iasted#Car	iasted#Car -> iasted#Transport_vehicle -> iasted#Item	 	iasted#is_connected_with -> iasted#Renting	 	0.726
cmt#Review	cmt#Review -> cmt#Document	 	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer	 	iasted#Sponsor	iasted#Sponsor -> iasted#Person	 	iasted#is_occupied_by -> iasted#Sponsor_city, iasted#occupy -> iasted#Sponsor_city, iasted#occupy -> iasted#Sponsor_state	 	0.726
ekaw#Conference_Trip	ekaw#Conference_Trip -> ekaw#Social_Event -> ekaw#Event	 	 	 	iasted#Video_presentation	iasted#Video_presentation -> iasted#Presentation -> iasted#Conference_activity -> iasted#Activity	 	 	 	0.726
conference#Regular_contribution	conference#Regular_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	 	 	 	confOf#Regular	confOf#Regular -> confOf#Participant -> confOf#Person	 	 	 	0.726
cmt#Chairman	cmt#Chairman -> cmt#Person	 	cmt#markConflictOfInterest -> cmt#Paper	 	iasted#Transparency	iasted#Transparency -> iasted#Document -> iasted#Item	 	iasted#prepare -> iasted#Author, iasted#is_prepared_by -> iasted#Speaker	 	0.726
edas#MealEvent	edas#MealEvent -> edas#NonAcademicEvent -> edas#ConferenceEvent	 	edas#hasMenu -> edas#MealMenu, edas#isMenuOf -> edas#MealMenu	 	iasted#Conference_hall	iasted#Conference_hall -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_building, iasted#speak_in -> iasted#Tutorial_speaker, iasted#speak_in -> iasted#Plenary_lecture_speaker	 	0.726
cmt#ProgramCommitteeMember	cmt#ProgramCommitteeMember -> cmt#Person, cmt#ProgramCommitteeMember -> cmt#ConferenceMember -> cmt#Person	 	cmt#hasProgramCommitteeMember -> cmt#ProgramCommittee, cmt#memberOfProgramCommittee -> cmt#ProgramCommittee, cmt#addProgramCommitteeMember -> cmt#Administrator	cmt#maxPapers -> cmt#int	conference#Track-workshop_chair	conference#Track-workshop_chair -> conference#Person	 	conference#was_a_track-workshop_chair_of -> conference#Conference_part, conference#has_a_track-workshop-tutorial_chair -> conference#Conference_part	 	0.726
confOf#Member	confOf#Member -> confOf#Participant -> confOf#Person	 	 	 	iasted#Registration	iasted#Registration -> iasted#Conference_activity -> iasted#Activity	 	 	 	0.726
cmt#Review	cmt#Review -> cmt#Document	cmt#Meta-Review	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer, cmt#endReview -> cmt#ProgramCommitteeChair	 	ekaw#Conference_Session	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	ekaw#Industrial_Session	ekaw#partOfEvent -> ekaw#Conference	 	0.726
conference#Committee_member	conference#Committee_member -> conference#Person	 	conference#was_a_member_of -> conference#Committee, conference#has_members -> conference#Committee	 	iasted#Conference_Hiker	iasted#Conference_Hiker -> iasted#Delegate -> iasted#Person	 	iasted#is_visited_by -> iasted#Trip_city, iasted#is_paid_by -> iasted#Fee_for_extra_trip	 	0.726
confOf#Reception	confOf#Reception -> confOf#Social_event -> confOf#Event	 	 	 	sigkdd#Invited_Speaker	sigkdd#Invited_Speaker -> sigkdd#Speaker -> sigkdd#Person	 	 	 	0.726
edas#Paper	edas#Paper -> edas#Document	 	edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#Reviewer, edas#isWrittenBy -> edas#Author, edas#hasRelatedPaper -> edas#Author, edas#isTopicOf -> edas#Topic, edas#hasTopic -> edas#Topic	 	iasted#Listener	iasted#Listener -> iasted#Delegate -> iasted#Person	 	iasted#is_designed_for -> iasted#Lecture	 	0.726
cmt#Paper	cmt#Paper -> cmt#Document	 	cmt#readByReviewer -> cmt#Reviewer, cmt#markConflictOfInterest -> cmt#Reviewer, cmt#readPaper -> cmt#Reviewer, cmt#assignedTo -> cmt#Reviewer, cmt#hasBeenAssigned -> cmt#Reviewer, cmt#submitPaper -> cmt#Author	cmt#paperID -> cmt#unsignedLong, cmt#title -> cmt#string	iasted#Listener	iasted#Listener -> iasted#Delegate -> iasted#Person	 	iasted#is_designed_for -> iasted#Lecture	 	0.726
cmt#Meta-Reviewer	cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#User -> cmt#Person	 	cmt#readByMeta-Reviewer -> cmt#Paper	 	edas#ReviewRating	 	 	edas#hasRating -> edas#ActivePaper	 	0.726
conference#Program_committee	conference#Program_committee -> conference#Committee	 	conference#has_a_program_committee -> conference#Conference_volume, conference#was_a_program_committee_of -> conference#Conference_volume	 	ekaw#Programme_Brochure	ekaw#Programme_Brochure -> ekaw#Document	 	ekaw#publisherOf -> ekaw#Organisation, ekaw#listsEvent -> ekaw#Event, ekaw#eventOnList -> ekaw#Event	 	0.726
conference#Conference_www	conference#Conference_www -> conference#Conference_document	 	 	conference#has_a_URL -> conference#string	confOf#Event	 	 	 	confOf#starts_on -> confOf#string, confOf#ends_on -> confOf#string	0.726
cmt#ConferenceMember	cmt#ConferenceMember -> cmt#Person	 	 	 	confOf#Administrator	confOf#Administrator -> confOf#Person	 	 	 	0.726
edas#PaperPresentation	edas#PaperPresentation -> edas#AcademicEvent -> edas#ConferenceEvent	 	edas#relatedToPaper -> edas#AcceptedPaper, edas#relatedToEvent -> edas#AcceptedPaper	 	sigkdd#Best_Applications_Paper_Award	sigkdd#Best_Applications_Paper_Award -> sigkdd#Award	 	sigkdd#award -> sigkdd#Author_of_paper	 	0.725
edas#Attendee	edas#Attendee -> edas#Person	 	 	 	ekaw#Paper_Author	ekaw#Paper_Author -> ekaw#Person	 	 	 	0.725
edas#ConferenceChair	edas#ConferenceChair -> edas#Person	 	edas#initiates -> edas#Call, edas#isInitiatedBy -> edas#Call, edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper	 	iasted#Activity_before_conference	iasted#Activity_before_conference -> iasted#Activity	 	iasted#is_held_before -> iasted#Conference_days	 	0.725
iasted#Non_speaker	iasted#Non_speaker -> iasted#Delegate -> iasted#Person	 	iasted#is_designed_for -> iasted#Nonauthor_registration_fee	 	sigkdd#Paper	sigkdd#Paper -> sigkdd#Document	 	sigkdd#submit -> sigkdd#Author	 	0.725
conference#Written_contribution	conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	 	 	 	iasted#Reviewer	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	 	 	0.725
edas#PendingPaper	edas#PendingPaper -> edas#Paper -> edas#Document	 	 	 	iasted#Invitation_letter	iasted#Invitation_letter -> iasted#Document -> iasted#Item	 	 	 	0.725
conference#Conference_participant	conference#Conference_participant -> conference#Person	 	 	 	ekaw#PC_Chair	ekaw#PC_Chair -> ekaw#Conference_Participant -> ekaw#Person, ekaw#PC_Chair -> ekaw#PC_Member -> ekaw#Possible_Reviewer -> ekaw#Person	 	 	 	0.725
confOf#Poster	confOf#Poster -> confOf#Contribution	 	 	 	sigkdd#Review	sigkdd#Review -> sigkdd#Document	 	 	 	0.725
confOf#Poster	confOf#Poster -> confOf#Contribution	 	 	 	edas#Review	edas#Review -> edas#Document	 	 	 	0.725
cmt#Review	cmt#Review -> cmt#Document	 	 	 	confOf#Poster	confOf#Poster -> confOf#Contribution	 	 	 	0.725
confOf#Poster	confOf#Poster -> confOf#Contribution	 	 	 	ekaw#Review	ekaw#Review -> ekaw#Document	 	 	 	0.725
edas#AcceptedPaper	edas#AcceptedPaper -> edas#Paper -> edas#Document	 	edas#relatedToPaper -> edas#PaperPresentation, edas#relatedToEvent -> edas#PaperPresentation	 	iasted#Book_proceeding	iasted#Book_proceeding -> iasted#Publication -> iasted#Item	 	iasted#obtain -> iasted#Author_book_proceedings_included, iasted#is_paid_for -> iasted#Author_attendee_book_registration_fee	 	0.725
conference#Regular_author	conference#Regular_author -> conference#Conference_contributor -> conference#Person	conference#Contribution_1th-author, conference#Contribution_co-author	 	 	ekaw#Conference_Participant	ekaw#Conference_Participant -> ekaw#Person	ekaw#Late-Registered_Participant, ekaw#Presenter, ekaw#Early-Registered_Participant	 	 	0.725
conference#Co-chair	conference#Co-chair -> conference#Committee_member -> conference#Person	 	conference#was_a_committe_co-chair_of -> conference#Committee, conference#has_a_committee_co-chair -> conference#Committee	 	iasted#Conference_building	iasted#Conference_building -> iasted#Building -> iasted#Place	 	iasted#is_occupied_by -> iasted#Delegate, iasted#is_situated_in -> iasted#Conference_state, iasted#is_situated_in -> iasted#Conference_hall	 	0.725
edas#MealMenu	edas#MealMenu -> edas#Document	 	edas#hasMenu -> edas#MealEvent, edas#isMenuOf -> edas#MealEvent	 	iasted#Coctail_reception	iasted#Coctail_reception -> iasted#Conference_activity -> iasted#Activity	 	iasted#is_designed_for -> iasted#Delegate	 	0.725
conference#Review_expertise	 	 	conference#has_a_review_expertise -> conference#Submitted_contribution, conference#has_a_submitted_contribution -> conference#Submitted_contribution, conference#belongs_to_reviewers -> conference#Reviewer, conference#has_a_review_reference_or_expertise -> conference#Reviewer	 	edas#ReviewRating	 	 	edas#hasRating -> edas#ActivePaper	 	0.725
edas#SessionChair	edas#SessionChair -> edas#Person	 	edas#isInitiatedBy -> edas#Call, edas#initiates -> edas#Call, edas#isReviewedBy -> edas#Paper, edas#isReviewing -> edas#Paper	 	ekaw#Conference	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference_Session	 	0.725
conference#Reviewer	conference#Reviewer -> conference#Person	 	conference#belongs_to_reviewers -> conference#Review_expertise, conference#has_a_review_reference_or_expertise -> conference#Review_expertise	 	iasted#Record_of_attendance	iasted#Record_of_attendance -> iasted#Document -> iasted#Item	 	iasted#sign -> iasted#Listener, iasted#is_signed_by -> iasted#Listener	 	0.725
edas#ConferenceChair	edas#ConferenceChair -> edas#Person	 	 	 	iasted#One_conference_day	iasted#One_conference_day -> iasted#Conference_days -> iasted#Time	 	 	 	0.725
cmt#ConferenceMember	cmt#ConferenceMember -> cmt#Person	cmt#Reviewer, cmt#ConferenceChair, cmt#Author, cmt#ProgramCommitteeMember	cmt#hasConferenceMember -> cmt#Conference, cmt#memberOfConference -> cmt#Conference	 	conference#Conference_document	 	conference#Review, conference#Conference_www, conference#Conference_announcement, conference#Conference_contribution	conference#has_authors -> conference#Person, conference#contributes -> conference#Person	conference#has_a_date_of_issue -> conference#date	0.725
conference#Review	conference#Review -> conference#Conference_document	 	 	 	confOf#Trip	confOf#Trip -> confOf#Social_event -> confOf#Event	 	 	 	0.725
cmt#Decision	 	cmt#Acceptance, cmt#Rejection	cmt#hasDecision -> cmt#Paper	 	ekaw#Possible_Reviewer	ekaw#Possible_Reviewer -> ekaw#Person	ekaw#PC_Member	ekaw#hasReviewer -> ekaw#Paper, ekaw#reviewerOfPaper -> ekaw#Paper, ekaw#reviewWrittenBy -> ekaw#Review	 	0.725
edas#Place	 	edas#ConferenceVenuePlace, edas#MeetingRoomPlace, edas#AccommodationPlace, edas#DiningPlace	edas#hasLocation -> edas#ConferenceEvent, edas#isLocationOf -> edas#ConferenceEvent	 	ekaw#Person	 	ekaw#Conference_Participant, ekaw#Student, ekaw#Paper_Author	ekaw#organises -> ekaw#Event, ekaw#organisedBy -> ekaw#Event, ekaw#writtenBy -> ekaw#Document, ekaw#authorOf -> ekaw#Document	 	0.725
cmt#ProgramCommitteeMember	cmt#ProgramCommitteeMember -> cmt#Person, cmt#ProgramCommitteeMember -> cmt#ConferenceMember -> cmt#Person	 	cmt#hasProgramCommitteeMember -> cmt#ProgramCommittee, cmt#memberOfProgramCommittee -> cmt#ProgramCommittee, cmt#addProgramCommitteeMember -> cmt#Administrator, cmt#setMaxPapers -> cmt#Administrator, cmt#addedBy -> cmt#Administrator	cmt#maxPapers -> cmt#int	iasted#Conference_hall	iasted#Conference_hall -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_building, iasted#speak_in -> iasted#Tutorial_speaker, iasted#speak_in -> iasted#Plenary_lecture_speaker	 	0.725
conference#Conference_contributor	conference#Conference_contributor -> conference#Person	 	 	 	iasted#Presenter_state	iasted#Presenter_state -> iasted#State	 	 	 	0.725
conference#Presentation	conference#Presentation -> conference#Conference_contribution -> conference#Conference_document	 	 	 	ekaw#Poster_Paper	ekaw#Poster_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	0.725
confOf#Reviewing_event	confOf#Reviewing_event -> confOf#Administrative_event -> confOf#Event	 	 	 	ekaw#Individual_Presentation	ekaw#Individual_Presentation -> ekaw#Scientific_Event -> ekaw#Event	 	 	 	0.725
conference#Chair	conference#Chair -> conference#Committee_member -> conference#Person	 	 	 	iasted#Computer	iasted#Computer -> iasted#Audiovisual_equipment -> iasted#Item	 	 	 	0.725
conference#Conference_contributor	conference#Conference_contributor -> conference#Person	 	 	 	iasted#Presenter_city	iasted#Presenter_city -> iasted#City	 	 	 	0.725
ekaw#Workshop_Session	ekaw#Workshop_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	 	 	iasted#Plenary_lecture	iasted#Plenary_lecture -> iasted#Lecture -> iasted#Conference_activity -> iasted#Activity	 	 	 	0.725
conference#Abstract	conference#Abstract -> conference#Extended_abstract -> conference#Regular_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	 	conference#is_the_1th_part_of -> conference#Presentation, conference#has_an_abstract -> conference#Presentation, conference#has_an_abstract -> conference#Poster	 	ekaw#Programme_Brochure	ekaw#Programme_Brochure -> ekaw#Document	 	ekaw#listsEvent -> ekaw#Event, ekaw#eventOnList -> ekaw#Event	 	0.725
conference#Accepted_contribution	conference#Accepted_contribution -> conference#Reviewed_contribution -> conference#Submitted_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	conference#Camera_ready_contribution	 	 	ekaw#Evaluated_Paper	ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	ekaw#Accepted_Paper, ekaw#Rejected_Paper	 	 	0.725
ekaw#Organisation	 	ekaw#Academic_Institution, ekaw#Organising_Agency	ekaw#organises -> ekaw#Event, ekaw#organisedBy -> ekaw#Event	 	iasted#Place	 	iasted#Conference_hall, iasted#Session_room, iasted#Main_office, iasted#Building	iasted#is_connected_with -> iasted#Activity, iasted#is_held_in -> iasted#Activity, iasted#is_equipped_by -> iasted#Item	 	0.725
edas#Paper	edas#Paper -> edas#Document	 	edas#isTopicOf -> edas#Topic, edas#hasTopic -> edas#Topic, edas#isWrittenBy -> edas#Author, edas#hasRelatedPaper -> edas#Author, edas#isReviewing -> edas#Reviewer, edas#isReviewedBy -> edas#Reviewer	 	iasted#Renting	iasted#Renting -> iasted#Activity_before_conference -> iasted#Activity	 	iasted#is_connected_with -> iasted#Car	 	0.725
ekaw#Accepted_Paper	ekaw#Accepted_Paper -> ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	 	ekaw#hasReview -> ekaw#Positive_Review, ekaw#updatedVersionOf -> ekaw#Camera_Ready_Paper	 	iasted#Record_of_attendance	iasted#Record_of_attendance -> iasted#Document -> iasted#Item	 	iasted#sign -> iasted#Listener, iasted#is_signed_by -> iasted#Listener, iasted#is_situated_in -> iasted#Session_room	 	0.725
cmt#Review	cmt#Review -> cmt#Document	 	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer	 	iasted#Presenter_house	iasted#Presenter_house -> iasted#Building -> iasted#Place	 	iasted#is_situated_in -> iasted#Presenter_city, iasted#occupy -> iasted#Delegate, iasted#is_occupied_by -> iasted#Delegate	 	0.725
ekaw#Web_Site	ekaw#Web_Site -> ekaw#Document	 	ekaw#publisherOf -> ekaw#Organisation, ekaw#listsEvent -> ekaw#Event, ekaw#eventOnList -> ekaw#Event	 	iasted#Sponsor_state	iasted#Sponsor_state -> iasted#State	 	iasted#occupy -> iasted#Sponsor, iasted#is_situated_in -> iasted#Sponsor_company_house	 	0.725
edas#PendingPaper	edas#PendingPaper -> edas#Paper -> edas#Document	 	 	 	iasted#Deadline	iasted#Deadline -> iasted#Time	 	 	iasted#done_till -> iasted#date	0.725
edas#TalkEvent	edas#TalkEvent -> edas#AcademicEvent -> edas#ConferenceEvent	 	 	 	iasted#Speaker_lecture	iasted#Speaker_lecture -> iasted#Session -> iasted#Lecture -> iasted#Conference_activity -> iasted#Activity	 	 	 	0.725
conference#Presentation	conference#Presentation -> conference#Conference_contribution -> conference#Conference_document	 	 	 	edas#ClosingTalk	edas#ClosingTalk -> edas#TalkEvent -> edas#AcademicEvent -> edas#ConferenceEvent	 	 	 	0.725
conference#Chair	conference#Chair -> conference#Committee_member -> conference#Person	 	conference#has_a_committee_chair -> conference#Committee, conference#was_a_committee_chair_of -> conference#Committee	 	iasted#Conference_airport	iasted#Conference_airport -> iasted#Building -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_state, iasted#is_situated_in -> iasted#Conference_city	 	0.725
cmt#ExternalReviewer	cmt#ExternalReviewer -> cmt#Person	 	cmt#assignedByReviewer -> cmt#Reviewer, cmt#assignExternalReviewer -> cmt#Reviewer	 	iasted#Presenter_university	iasted#Presenter_university -> iasted#Building -> iasted#Place	 	iasted#is_situated_in -> iasted#Presenter_city, iasted#is_situated_in -> iasted#Presenter_state	 	0.724
iasted#Presenter_state	iasted#Presenter_state -> iasted#State	 	iasted#is_situated_in -> iasted#Presenter_university, iasted#is_situated_in -> iasted#Presenter_house, iasted#is_occupied_by -> iasted#Delegate, iasted#occupy -> iasted#Delegate	 	sigkdd#Author_of_paper_student	sigkdd#Author_of_paper_student -> sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	 	sigkdd#award -> sigkdd#Best_Student_Paper_Award	 	0.724
conference#Reviewer	conference#Reviewer -> conference#Person	 	 	 	confOf#Regular	confOf#Regular -> confOf#Participant -> confOf#Person	 	 	 	0.724
edas#AcceptedPaper	edas#AcceptedPaper -> edas#Paper -> edas#Document	 	 	 	sigkdd#Review	sigkdd#Review -> sigkdd#Document	 	 	 	0.724
conference#Conference_announcement	conference#Conference_announcement -> conference#Conference_document	 	 	 	iasted#Speaker_lecture	iasted#Speaker_lecture -> iasted#Session -> iasted#Lecture -> iasted#Conference_activity -> iasted#Activity	 	 	 	0.724
conference#Person	 	 	conference#has_authors -> conference#Conference_document, conference#contributes -> conference#Conference_document	conference#has_the_first_name -> conference#string, conference#has_an_email -> conference#string, conference#has_the_last_name -> conference#string	edas#Programme	edas#Programme -> edas#Document	 	edas#hasProgramme -> edas#ConferenceEvent, edas#belongsToEvent -> edas#ConferenceEvent	 	0.724
ekaw#Paper	ekaw#Paper -> ekaw#Document	 	ekaw#hasReviewer -> ekaw#Possible_Reviewer, ekaw#reviewerOfPaper -> ekaw#Possible_Reviewer, ekaw#hasReview -> ekaw#Review, ekaw#reviewOfPaper -> ekaw#Review, ekaw#coversTopic -> ekaw#Research_Topic, ekaw#topicCoveredBy -> ekaw#Research_Topic	 	iasted#Hotel_registration_form	iasted#Hotel_registration_form -> iasted#Form -> iasted#Document -> iasted#Item	 	iasted#is_sent_before -> iasted#Deadline_hotel_reservation	 	0.724
ekaw#Multi-author_Volume	ekaw#Multi-author_Volume -> ekaw#Document	 	ekaw#publisherOf -> ekaw#Organisation	 	iasted#Author_cd_proceedings_included	iasted#Author_cd_proceedings_included -> iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#obtain -> iasted#Cd_proceening	 	0.724
edas#Excursion	edas#Excursion -> edas#SocialEvent -> edas#NonAcademicEvent -> edas#ConferenceEvent	 	 	 	ekaw#Scientific_Event	ekaw#Scientific_Event -> ekaw#Event	 	 	 	0.724
conference#Conference_contribution	conference#Conference_contribution -> conference#Conference_document	 	conference#is_submitted_at -> conference#Conference_volume, conference#has_contributions -> conference#Conference_volume	 	edas#AcceptedPaper	edas#AcceptedPaper -> edas#Paper -> edas#Document	 	edas#relatedToPaper -> edas#PaperPresentation, edas#relatedToEvent -> edas#PaperPresentation	 	0.724
ekaw#Paper_Author	ekaw#Paper_Author -> ekaw#Person	 	 	 	iasted#Payment_document	iasted#Payment_document -> iasted#Document -> iasted#Item	 	 	 	0.724
iasted#Main_office	iasted#Main_office -> iasted#Place	 	 	 	sigkdd#Hotel	sigkdd#Hotel -> sigkdd#Place	 	 	 	0.724
edas#Call	 	 	edas#initiates -> edas#ConferenceChair, edas#isInitiatedBy -> edas#ConferenceChair, edas#isInitiatedBy -> edas#SessionChair, edas#initiates -> edas#SessionChair, edas#hasCall -> edas#AcademicEvent, edas#forEvent -> edas#AcademicEvent	edas#hasSubmissionDeadline -> edas#dateTime, edas#hasSubmissionInstructions -> edas#string	ekaw#Conference	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference_Session	 	0.724
ekaw#Flyer	ekaw#Flyer -> ekaw#Document	 	ekaw#publisherOf -> ekaw#Organisation	 	iasted#Speaker	iasted#Speaker -> iasted#Delegate -> iasted#Person	 	iasted#is_writen_by -> iasted#Submission, iasted#give -> iasted#Lecture, iasted#is_prepared_by -> iasted#Transparency, iasted#write -> iasted#Final_manuscript, iasted#is_used_by -> iasted#Audiovisual_equipment	 	0.724
conference#Co-chair	conference#Co-chair -> conference#Committee_member -> conference#Person	 	conference#was_a_committe_co-chair_of -> conference#Committee, conference#has_a_committee_co-chair -> conference#Committee	 	iasted#Car	iasted#Car -> iasted#Transport_vehicle -> iasted#Item	 	iasted#is_connected_with -> iasted#Renting	 	0.724
ekaw#Conference_Participant	ekaw#Conference_Participant -> ekaw#Person	ekaw#Early-Registered_Participant, ekaw#Presenter, ekaw#Late-Registered_Participant, ekaw#Demo_Chair, ekaw#Session_Chair	ekaw#writtenBy -> ekaw#Camera_Ready_Paper	 	iasted#Activity_after_conference	iasted#Activity_after_conference -> iasted#Activity	iasted#Departure, iasted#Full_day_tour	iasted#is_held_after -> iasted#Conference_days	 	0.724
edas#TextualReviewQuestion	edas#TextualReviewQuestion -> edas#ReviewQuestion	 	 	 	iasted#Review	iasted#Review -> iasted#Document -> iasted#Item	 	 	 	0.724
ekaw#Camera_Ready_Paper	ekaw#Camera_Ready_Paper -> ekaw#Paper -> ekaw#Document	 	ekaw#writtenBy -> ekaw#Conference_Participant, ekaw#updatedVersionOf -> ekaw#Accepted_Paper, ekaw#presentationOfPaper -> ekaw#Contributed_Talk	 	iasted#Hotel_presenter	iasted#Hotel_presenter -> iasted#Delegate -> iasted#Person	 	iasted#is_designed_for -> iasted#Conference_hotel, iasted#is_paid_by -> iasted#Hotel_fee, iasted#is_designed_for -> iasted#Hotel_room	 	0.724
conference#Review	conference#Review -> conference#Conference_document	 	conference#has_a_review -> conference#Reviewed_contribution, conference#reviews -> conference#Reviewed_contribution	 	sigkdd#Speaker	sigkdd#Speaker -> sigkdd#Person	 	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document	 	0.724
confOf#Member	confOf#Member -> confOf#Participant -> confOf#Person	 	 	 	edas#SessionChair	edas#SessionChair -> edas#Person	 	 	 	0.724
cmt#PaperFullVersion	cmt#PaperFullVersion -> cmt#Paper -> cmt#Document	 	 	 	iasted#Initial_manuscipt	iasted#Initial_manuscipt -> iasted#Submission -> iasted#Document -> iasted#Item	 	 	 	0.724
edas#TalkEvent	edas#TalkEvent -> edas#AcademicEvent -> edas#ConferenceEvent	 	 	 	iasted#Video_presentation	iasted#Video_presentation -> iasted#Presentation -> iasted#Conference_activity -> iasted#Activity	 	 	 	0.724
ekaw#Conference_Proceedings	ekaw#Conference_Proceedings -> ekaw#Proceedings -> ekaw#Multi-author_Volume -> ekaw#Document	 	 	 	iasted#Presentation	iasted#Presentation -> iasted#Conference_activity -> iasted#Activity	 	 	 	0.724
edas#ActivePaper	edas#ActivePaper -> edas#Paper -> edas#Document	 	edas#hasRating -> edas#ReviewRating	 	iasted#Author_information_form	iasted#Author_information_form -> iasted#Form -> iasted#Document -> iasted#Item	 	iasted#is_sent_after -> iasted#Deadline_for_notification_of_acceptance	 	0.724
confOf#Working_event	confOf#Working_event -> confOf#Event	 	confOf#hasTopic -> confOf#Topic, confOf#hasAdministrativeEvent -> confOf#Administrative_event	confOf#has_short_title -> confOf#string, confOf#hasVAT -> confOf#string, confOf#location -> confOf#string, confOf#defaultChoice -> confOf#positiveInteger, confOf#has_title -> confOf#string, confOf#minChoice -> confOf#positiveInteger, confOf#maxChoice -> confOf#positiveInteger	iasted#Conference_city	iasted#Conference_city -> iasted#City	 	iasted#is_situated_in -> iasted#Place, iasted#is_situated_in -> iasted#Conference_airport, iasted#is_situated_in -> iasted#Conference_hotel, iasted#is_situated_in -> iasted#Conference_restaurant, iasted#is_visited_by -> iasted#Delegate	 	0.724
conference#Conference_announcement	conference#Conference_announcement -> conference#Conference_document	 	 	 	iasted#PowerPoint_presentation	iasted#PowerPoint_presentation -> iasted#Presentation -> iasted#Conference_activity -> iasted#Activity	 	 	 	0.724
conference#Review	conference#Review -> conference#Conference_document	 	conference#has_a_review -> conference#Reviewed_contribution, conference#reviews -> conference#Reviewed_contribution	 	iasted#Session_room	iasted#Session_room -> iasted#Place	 	iasted#is_situated_in -> iasted#Record_of_attendance, iasted#speak_in -> iasted#Lecturer, iasted#is_held_in -> iasted#Session	 	0.724
confOf#Company	confOf#Company -> confOf#Organization	 	 	 	iasted#Document	iasted#Document -> iasted#Item	 	 	 	0.724
conference#Regular_author	conference#Regular_author -> conference#Conference_contributor -> conference#Person	conference#Contribution_co-author, conference#Contribution_1th-author	 	 	ekaw#Possible_Reviewer	ekaw#Possible_Reviewer -> ekaw#Person	ekaw#PC_Member	 	 	0.724
cmt#Review	cmt#Review -> cmt#Document	 	 	 	ekaw#Track	ekaw#Track -> ekaw#Scientific_Event -> ekaw#Event	 	 	 	0.724
ekaw#Track	ekaw#Track -> ekaw#Scientific_Event -> ekaw#Event	 	 	 	sigkdd#Review	sigkdd#Review -> sigkdd#Document	 	 	 	0.724
edas#Review	edas#Review -> edas#Document	 	 	 	ekaw#Track	ekaw#Track -> ekaw#Scientific_Event -> ekaw#Event	 	 	 	0.724
edas#SessionChair	edas#SessionChair -> edas#Person	 	edas#isInitiatedBy -> edas#Call, edas#initiates -> edas#Call, edas#isReviewedBy -> edas#Paper, edas#isReviewing -> edas#Paper	 	iasted#Deadline	iasted#Deadline -> iasted#Time	 	iasted#is_designed_for -> iasted#Delegate	iasted#done_till -> iasted#date	0.724
conference#Contribution_1th-author	conference#Contribution_1th-author -> conference#Regular_author -> conference#Conference_contributor -> conference#Person	 	 	 	iasted#Author_cd_proceedings_included	iasted#Author_cd_proceedings_included -> iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	 	 	0.724
cmt#ExternalReviewer	cmt#ExternalReviewer -> cmt#Person	 	 	 	ekaw#Student	ekaw#Student -> ekaw#Person	 	 	 	0.724
conference#Chair	conference#Chair -> conference#Committee_member -> conference#Person	 	conference#has_a_committee_chair -> conference#Committee, conference#was_a_committee_chair_of -> conference#Committee	 	ekaw#Session	ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#hasEvent -> ekaw#Individual_Presentation	 	0.724
